datum,modul,titel,lernziele
2025-10-14T00:00:00Z,4,Daten Import & Daten Management & Kollaboratives Arbeiten mit GitHub II,"Die Lernenden können Daten aus Dateien im CSV und XLSX-Format importieren, die sich in Unterverzeichnissen des Stammverzeichnisses, und auf GitHub, befinden."
2025-10-14T00:00:00Z,4,Daten Import & Daten Management & Kollaboratives Arbeiten mit GitHub II,"Die Lernenden können den Unterschied zwischen drei Arten von Daten erörten: (1) unverarbeitete Rohdaten; (2) verarbeitete, analysefähige Daten, und (3) Daten, die einer Veröffentlichung zugrunde liegen."
2025-10-14T00:00:00Z,4,Daten Import & Daten Management & Kollaboratives Arbeiten mit GitHub II,"Die Lernenden können die Anwendung der Git Befehle clone, commit, push beschreiben."
2025-10-14T00:00:00Z,4,Daten Import & Daten Management & Kollaboratives Arbeiten mit GitHub II,Die Lernenden können die Begriffe local und remote Repository unterscheiden.
2025-10-21T00:00:00Z,5,Bedingte Anweisungen & Datumswerte & OGD Ressourcen,"Die Lernenden können Funktionen aus dem R-Paket `dplyr` anwenden, um durch bedingte Anweisungen Werte einer Variable in einem Datensatz zu ändern."
2025-10-21T00:00:00Z,5,Bedingte Anweisungen & Datumswerte & OGD Ressourcen,"Die Lernenden können Funktionen aus dem R-Paket `lubridate` anwenden, um aus Datumsangaben neue Variablen zu erstellen, welche zusätzliche Erkenntnisse liefern."
2025-10-21T00:00:00Z,5,Bedingte Anweisungen & Datumswerte & OGD Ressourcen,Die Lernenden können auf Ressourcen für das Arbeiten mit OGD zugreifen um eigene Daten für eine Publikation vorzubereiten.
2025-10-28T00:00:00Z,6,Daten Typen & Vektoren & Iteration I (for loops),Die Lernenden können die Bedeutung von Vektoren mit Bezug auf einen Dataframe erläutern.
2025-10-28T00:00:00Z,6,Daten Typen & Vektoren & Iteration I (for loops),Die Lernenden können drei verschiedene Methoden anwenden um auf einen Vektor in einem dataframe zuzugreifen.
2025-10-28T00:00:00Z,6,Daten Typen & Vektoren & Iteration I (for loops),Die Lernenden können die vier wichtigsten atomaren Vektortypen in R auflisten.
2025-10-28T00:00:00Z,6,Daten Typen & Vektoren & Iteration I (for loops),"Die Lernenden können einen for loop verwenden, um durch die Elemente eines Vektors in einem Dataframe zu iterieren und spezifische Operationen auf jedes Element anzuwenden."
2025-11-11T00:00:00Z,7,Datenformen lang und breit & Daten zusammenfügen,"Die Lernenden können Funktionen aus dem R-Paket tidyr anwenden, um ihre Daten von einem breiten in ein langes Format und umgekehrt umzuwandeln."
2025-11-11T00:00:00Z,7,Datenformen lang und breit & Daten zusammenfügen,"Die Lernenden können Funktionen aus dem `dplyr` R-Paket anwenden, um mehrere Datensätze zu verknüpfen."
2025-11-11T00:00:00Z,7,Datenformen lang und breit & Daten zusammenfügen,Die Lernenden können die drei grundlegenden Elemente des Tidy Data Konzeptes widergeben.
2025-11-18T00:00:00Z,8,Mit Text Daten arbeiten & KTZH Corporate Design mit statR,Die Lernenden können die Funktion `str_detect()` aus dem R-Paket stringr verwenden um das Auftreten oder Fehlen bestimmter Muster in Zeichenvektoren (character Vektor) zu ermitteln.
2025-11-18T00:00:00Z,8,Mit Text Daten arbeiten & KTZH Corporate Design mit statR,"Due Lernenden können `str_detect()` mit `dplyr` Funktionen wie `filter()` oder `mutate()` nutzen, um Daten über das Auftreten von Mustern in Teilmengen zu unterteilen oder darauf basierend neue Variablen zu erstellen."
2025-11-18T00:00:00Z,8,Mit Text Daten arbeiten & KTZH Corporate Design mit statR,Die Lernenden können das `statR` R-Paket nutzen um eine Visualisierung im Corporate Design des Kanton Zürich zu erstellen.
2025-11-25T00:00:00Z,9,Erstellung von Berichten und Folien mit Quarto,Die Lernenden können Querverweise zu Diagrammen und Tabellen in Quarto Dokumenten erstellen.
2025-11-25T00:00:00Z,9,Erstellung von Berichten und Folien mit Quarto,Die Lernenden können Folien im Format revealjs HTML erstellen.
2025-11-25T00:00:00Z,9,Erstellung von Berichten und Folien mit Quarto,Die Lernenden können Metadaten eines Quarto Dokuments anpassen.
2025-12-02T00:00:00Z,10,Funktionen schreiben & Parameterisierung von Berichten,"Die Lernenden können die Vorteile für das Schreiben von Funktionen gegenüber dem Kopieren und Einfügen (copy-paste) von Code erläutern, wie z.B. eine bessere Lesbarkeit des Codes, eine einfachere Instandhaltung und ein geringeres Fehlerrisiko"
2025-12-02T00:00:00Z,10,Funktionen schreiben & Parameterisierung von Berichten,"Die Lernenden können die Komponenten einer Funktion in R identifizieren, einschließlich des Funktionsnamens, der Argumente und des Hauptteils, und verstehen, wie man eine Funktion unter Verwendung dieser Komponenten erstellt."
2025-12-02T00:00:00Z,10,Funktionen schreiben & Parameterisierung von Berichten,"Die Lernenden können demonstrieren wie man Parameter in einem Quarto-Dokument festlegt und ändert, um die Ausgabe von Berichten anzupassen."
2025-12-11T00:00:00Z,11,Abgabe Abschlussprojekt,"Die Lernenden können die im Kurs erworbenen Fähigkeiten anwenden, um einen kurzen Projektbericht zu einer Daten-Analyse zu verfassen."
2025-12-11T00:00:00Z,11,Abgabe Abschlussprojekt,"Die Lernenden können ihre Daten manipulieren und analysieren, um ihre Fragen zu beantworten."
2025-12-11T00:00:00Z,11,Abgabe Abschlussprojekt,DIe Lernenden können ihren Abschlussbericht mittels GitHub Pages öffentlich publizieren.
